key,Price_cntrl_score,Rank_after,Rank_before,elo_rating
gemini-1.5-pro-exp-0827,1243.0157839434100,5,1,1299.0496873696700
gpt-4o-2024-05-13,1200.0013380206700,20,2,1286.487671568480
gpt-4o-mini-2024-07-18,1283.841602798840,2,3,1274.0590794991300
claude-3-5-sonnet-20240620,1188.2973485185600,25,4,1270.6177024356100
gemini-1.5-flash-exp-0827,1296.85793619576,1,5,1270.0898857052200
llama-3.1-405b-instruct,1214.6609748793100,13,6,1266.4616031372400
gpt-4o-2024-08-06,1192.5326281269300,22,7,1262.5401777507700
gemini-1.5-pro-api-0514,1208.594819150750,16,8,1259.5625604769600
gpt-4-turbo-2024-04-09,1156.256414248160,37,9,1257.4589932230600
gpt-4-1106-preview,1148.6858907413400,39,10,1251.5745287963300
mistral-large-2407,1189.482183786460,23,11,1250.906091846170
athene-70b-0725,1241.9464535083500,6,12,1248.6470913011100
llama-3.1-70b-instruct,1240.4876163189300,7,13,1248.321364018010
claude-3-opus-20240229,1130.7323984946000,51,14,1248.3121410212900
gpt-4-0125-preview,1146.0872114474600,40,15,1246.0957718172000
yi-large-preview,1181.6957001577700,27,16,1240.3172955754400
reka-core-20240722,1162.4724004746500,35,17,1228.7550097178700
gemini-1.5-flash-api-0514,1261.443247430070,3,18,1227.1454412072100
deepseek-v2-api-0628,1253.1510690559700,4,19,1220.1738581666800
gemma-2-27b-it,1216.2530384754600,10,20,1218.5466243913900
deepseek-coder-v2-0724,1239.5414800959600,8,21,1216.127328016920
jamba-1.5-large,1179.2256687684000,30,22,1213.097757216100
yi-large,1160.4131556691100,36,23,1212.9139405784800
nemotron-4-340b-instruct,1164.419493060970,34,24,1209.267621857630
glm-4-0520,1205.2173499843200,18,25,1206.7466430610500
llama-3-70b-instruct,1203.6393630641700,19,26,1206.2230601111900
gemini-1.5-flash-8b-exp-0827,1215.6148878643300,11,27,1202.7380947557100
claude-3-sonnet-20240229,1125.1641567513000,53,28,1201.7606907801900
reka-core-20240501,1186.845313187740,26,29,1200.3084783196000
reka-flash-20240722,1218.8724151480900,9,30,1199.3436214343700
command-r-plus,1112.4736219271400,60,31,1190.3479064062700
gemma-2-9b-it,1214.6619827243700,12,32,1187.8832168588400
qwen2-72b-instruct,1180.687480991640,28,33,1187.3466506649500
gpt-4-0314,1081.653254035740,87,34,1186.9191043991000
claude-3-haiku-20240307,1178.6255598402100,32,35,1179.0106891024700
deepseek-coder-v2,1211.5623053259300,14,36,1178.5383439723500
jamba-1.5-mini,1194.6510644075100,21,37,1173.9792857229700
llama-3.1-8b-instruct,1209.899252467880,15,38,1168.1380222176600
reka-flash-preview-20240611,1188.6473959069100,24,39,1165.161242044730
gpt-4-0613,1058.513567612250,95,40,1163.4344121187100
qwen1.5-110b-chat,1132.0365901515600,49,41,1161.6162772633300
yi-1.5-34b-chat,1144.0766699982900,41,42,1156.825365561390
mistral-large-2402,1106.321575532690,63,43,1156.209974903200
reka-flash-21b-20240226-online,1178.995376176380,31,44,1155.9662440750800
llama-3-8b-instruct,1207.8271908747800,17,45,1151.206579811910
command-r,1140.331833480000,44,46,1148.6346844872800
reka-flash-21b-20240226,1169.809158663690,33,47,1147.4338019442100
qwen1.5-72b-chat,1142.709914577210,43,48,1147.4160474858400
mixtral-8x22b-instruct-v0.1,1093.8646566254100,73,49,1147.1862536913900
claude-2.0,1053.0807674531700,99,50,1135.0330038098000
gemini-pro-dev-api,1138.4431259069800,46,51,1134.854286040520
gemma-2-2b-it,1180.1480236095900,29,52,1131.1226560856800
zephyr-orpo-141b-A35b-v0.1,1108.7054567816200,62,53,1129.296203359490
qwen1.5-32b-chat,1124.8410508914200,55,54,1125.7673206190600
phi-3-medium-4k-instruct,1149.6436126016100,38,55,1123.6053011155200
starling-lm-7b-beta,1142.7628928156600,42,56,1119.0031844782700
claude-2.1,1039.6949231638000,104,57,1117.8559465278600
gpt-3.5-turbo-0613,1101.809684218460,67,58,1117.8382396614800
mixtral-8x7b-instruct-v0.1,1114.0,59,59,1114.0
yi-34b-chat,1104.3977747158800,65,60,1111.891187912900
gpt-3.5-turbo-0314,1092.294370478240,74,61,1111.4000446469800
claude-instant-1,1096.1685346888600,71,62,1111.2787017857800
qwen1.5-14b-chat,1135.2368027222700,47,63,1108.1781483334300
wizardlm-70b,1096.5543819754300,70,64,1106.4853922806000
gpt-3.5-turbo-0125,1111.856058587910,61,65,1105.261967927960
dbrx-instruct-preview,1105.1698560410400,64,66,1102.688700071660
phi-3-small-8k-instruct,1139.0584320902100,45,67,1101.048899725500
tulu-2-dpo-70b,1089.268884500140,78,68,1100.7230170214400
llama-2-70b-chat,1084.6811454386100,82,69,1093.074734766900
vicuna-33b,1086.5657197937900,80,70,1091.851590514870
openchat-3.5-0106,1133.7562879357300,48,71,1091.3611299165100
snowflake-arctic-instruct,1055.271863175090,98,72,1089.1416842430200
starling-lm-7b-alpha,1124.281760573260,56,73,1089.113399349910
nous-hermes-2-mixtral-8x7b-dpo,1071.7711044974500,92,74,1085.4770388964700
deepseek-llm-67b-chat,1083.5954121768500,83,75,1084.4285839399200
gemma-1.1-7b-it,1131.0532267483300,50,76,1083.3685129215100
llama2-70b-steerlm-chat,1047.6112980785800,103,77,1081.4261403402200
pplx-70b-online,1066.8895073310200,93,78,1078.2070954497400
openchat-3.5,1126.8329766941700,52,79,1078.0999662438400
openhermes-2.5-mistral-7b,1121.3907621444400,57,80,1077.1689021835300
mistral-7b-instruct-v0.2,1099.715253850250,68,81,1072.0929409206800
gpt-3.5-turbo-1106,1072.1174492386300,91,82,1070.8075938520700
qwen1.5-7b-chat,1103.0682756608900,66,83,1068.8287871359100
phi-3-mini-4k-instruct-june-2024,1124.9956493217900,54,84,1068.1490747869800
phi-3-mini-4k-instruct,1116.7308201741100,58,85,1066.4622335261700
llama-2-13b-chat,1083.5033732116800,84,86,1063.4023903268200
dolphin-2.2.1-mistral-7b,1097.7306350855900,69,87,1061.5026451509200
wizardlm-13b,1090.9143599621800,76,88,1060.46286695524
solar-10.7b-instruct-v1.0,1091.2818611313200,75,89,1060.0869331976500
zephyr-7b-beta,1089.2833352488300,77,90,1054.6818487207000
mpt-30b-chat,1047.8517429980500,102,91,1048.2842913207200
pplx-7b-online,1085.9831044586600,81,92,1045.8811735774100
vicuna-13b,1078.1766831607000,89,93,1044.0525835830300
zephyr-7b-alpha,1082.006627164300,86,94,1043.5178797013000
codellama-34b-instruct,1038.3714107171400,106,95,1043.0333872922400
codellama-70b-instruct,1025.391769549870,108,96,1040.9674050413600
gemma-7b-it,1082.3756159145700,85,97,1037.8756260438300
llama-2-7b-chat,1087.12761686253,79,98,1035.9603187828800
falcon-180b-chat,1008.8340976107100,109,99,1035.199489295530
qwen-14b-chat,1072.1865687194200,90,100,1034.9428905369200
phi-3-mini-128k-instruct,1095.015539694610,72,101,1034.8764007885000
guanaco-33b,1028.966839135340,107,102,1033.7864803518900
stripedhyena-nous-7b,1063.7683244824200,94,103,1020.577131303140
gemma-1.1-2b-it,1078.8578069787000,88,104,1019.6656798078900
olmo-7b-instruct,1038.5377966316200,105,105,1015.1403327802000
mistral-7b-instruct,1050.8916811981800,101,106,1009.5953009675000
vicuna-7b,1056.9514626609900,96,107,1008.498321747970
gemma-2b-it,1055.9705826647400,97,108,989.345476904944
qwen1.5-4b-chat,1051.8915931523800,100,109,988.3740850759160
koala-13b,999.8254733704830,111,110,967.0961514617680
chatglm3-6b,1004.6084070305300,110,111,957.423666074656
gpt4all-13b-snoozy,996.1198916500180,112,112,930.9036998069980
mpt-7b-chat,990.3954679649340,113,113,929.8766889722730
chatglm2-6b,967.5956693216590,115,114,925.2467667066260
RWKV-4-Raven-14B,966.356092510947,116,115,924.9899123973810
alpaca-13b,971.2703722257480,114,116,904.88082424682
oasst-pythia-12b,943.5495152209020,118,117,896.2899633387480
chatglm-6b,924.8197375323100,119,118,881.2702355939450
fastchat-t5-3b,948.8143502939130,117,119,870.2768694895620
stablelm-tuned-alpha-7b,893.4910037330950,120,120,842.4694696741820
dolly-v2-12b,891.7763703028310,121,121,824.8076574124360
llama-13b,881.011650901501,122,122,803.5468157212180