index,Model,Elo rating
1,chatgpt-4o-latest,1324.4430872593264
2,claude-3-5-sonnet-20240620,1297.3624194221397
3,gpt-4o-2024-05-13,1294.8300984426282
4,gemini-1.5-pro-exp-0827,1294.685674943896
5,grok-2-2024-08-13,1287.854924822897
6,gpt-4o-mini-2024-07-18,1280.487595689744
7,llama-3.1-405b-instruct,1278.3197710674283
8,gemini-1.5-pro-exp-0801,1274.7937810048563
9,mistral-large-2407,1272.682042699472
10,gpt-4o-2024-08-06,1272.6138700898277
11,deepseek-coder-v2-0724,1268.168806993665
12,gpt-4-turbo-2024-04-09,1263.8452082881236
13,gemini-1.5-pro-api-0514,1263.2058598604476
14,grok-2-mini-2024-08-13,1255.346886903834
15,gemini-advanced-0514,1254.7660084914858
16,gpt-4-1106-preview,1254.3995422830462
17,llama-3.1-70b-instruct,1252.1772365851937
18,gemini-1.5-flash-exp-0827,1252.0407759377806
19,athene-70b-0725,1250.3784985820892
20,claude-3-opus-20240229,1249.728574400841
21,yi-large-preview,1245.041968753804
22,gpt-4-0125-preview,1245.0394849208512
23,deepseek-v2-api-0628,1239.4253856868747
24,deepseek-coder-v2,1239.1178629632523
25,gemini-1.5-pro-api-0409-preview,1231.3542222368171
26,gemini-1.5-flash-api-0514,1231.2034652247055
27,jamba-1.5-large,1220.2415980850499
28,yi-large,1219.4214184587504
29,glm-4-0520,1216.276700201125
30,claude-3-sonnet-20240229,1213.1291540555296
31,gemma-2-27b-it,1207.2218830782958
32,reka-core-20240722,1205.2246850542592
33,llama-3-70b-instruct,1199.5592882553158
34,nemotron-4-340b-instruct,1198.2642772611912
35,gpt-4-0314,1195.5980050943622
36,glm-4-0116,1191.05831479567
37,reka-core-20240501,1190.3193318309177
38,qwen-max-0428,1189.6170780211992
39,claude-3-haiku-20240307,1188.953990865276
40,qwen2-72b-instruct,1188.1278914751183
41,gemini-1.5-flash-8b-exp-0827,1186.793506855613
42,reka-flash-20240722,1184.480972699563
43,jamba-1.5-mini,1181.11452556183
44,llama-3.1-8b-instruct,1176.9080149149672
45,qwen1.5-110b-chat,1174.5619249530298
46,bard-jan-24-gemini-pro,1171.656387343371
47,mistral-large-2402,1169.6711209240354
48,gpt-4-0613,1167.0938903275767
49,command-r-plus,1164.495533007688
50,gemma-2-9b-it,1164.3723135121952
51,yi-1.5-34b-chat,1162.2166998299008
52,qwen1.5-72b-chat,1160.1598689487607
53,reka-flash-preview-20240611,1154.9968484454496
54,mistral-medium,1152.7879934640425
55,mixtral-8x22b-instruct-v0.1,1151.5818557264022
56,qwen1.5-32b-chat,1149.3669453300436
57,reka-flash-21b-20240226-online,1147.140959277171
58,llama-3-8b-instruct,1145.8143427842258
59,reka-flash-21b-20240226,1141.303581850912
60,claude-1,1136.1797878597135
61,claude-2.0,1135.3734270835737
62,gpt-3.5-turbo-0613,1135.144517229099
63,mistral-next,1132.5773548125753
64,claude-2.1,1132.1300750961827
65,starling-lm-7b-beta,1129.4474118089431
66,qwen1.5-14b-chat,1125.872359747983
67,zephyr-orpo-141b-A35b-v0.1,1124.5736899129986
68,phi-3-medium-4k-instruct,1123.8786307159817
69,gpt-3.5-turbo-0125,1123.6295472266656
70,command-r,1122.9030188563383
71,dbrx-instruct-preview,1118.1453763832249
72,gpt-3.5-turbo-0314,1115.3398160137233
73,mixtral-8x7b-instruct-v0.1,1114.0
74,claude-instant-1,1109.312836081889
75,phi-3-small-8k-instruct,1107.31952820355
76,yi-34b-chat,1106.18361644198
77,gemini-pro-dev-api,1102.8165020236656
78,openchat-3.5-0106,1102.214635869126
79,gpt-3.5-turbo-1106,1095.0741401679948
80,tulu-2-dpo-70b,1093.4093121499172
81,gemini-pro,1092.0151755272245
82,qwen1.5-7b-chat,1088.903625595361
83,phi-3-mini-4k-instruct,1085.856365122845
84,gemma-1.1-7b-it,1084.6931628324783
85,gemma-2-2b-it,1081.961487173216
86,starling-lm-7b-alpha,1080.3252506352742
87,phi-3-mini-4k-instruct-june-2024,1079.7739733162985
88,nous-hermes-2-mixtral-8x7b-dpo,1079.760656527716
89,deepseek-llm-67b-chat,1079.532877151773
90,snowflake-arctic-instruct,1076.972290324258
91,mistral-7b-instruct-v0.2,1073.880016168856
92,llama-2-70b-chat,1072.2988393765963
93,wizardlm-70b,1071.3302901726918
94,vicuna-33b,1067.3154794053048
95,openhermes-2.5-mistral-7b,1059.3368008461962
96,qwen-14b-chat,1055.9880463578897
97,openchat-3.5,1053.8848340196796
98,llama-2-13b-chat,1051.4335931390074
99,codellama-70b-instruct,1047.9124606814912
100,gemma-7b-it,1047.0475700057773
101,solar-10.7b-instruct-v1.0,1046.4709087389028
102,codellama-34b-instruct,1042.2168059573455
103,gemma-1.1-2b-it,1035.899219056959
104,zephyr-7b-alpha,1034.4665323842983
105,vicuna-13b,1032.4095100362877
106,mpt-30b-chat,1030.8849026636933
107,zephyr-7b-beta,1029.9315896513863
108,phi-3-mini-128k-instruct,1029.2820644280193
109,pplx-70b-online,1028.1704777292293
110,wizardlm-13b,1026.5143455507728
111,dolphin-2.2.1-mistral-7b,1025.310632546842
112,llama2-70b-steerlm-chat,1023.0994411776976
113,olmo-7b-instruct,1017.3098844714618
114,falcon-180b-chat,1017.1939730898299
115,pplx-7b-online,1015.147663446209
116,mistral-7b-instruct,1008.4114578210805
117,llama-2-7b-chat,1002.6051247853663
118,gemma-2b-it,1000.3302135492381
119,stripedhyena-nous-7b,1000.1129238342751
120,qwen1.5-4b-chat,990.7474443145285
121,palm-2,990.3792782819438
122,vicuna-7b,981.6675393804646
123,guanaco-33b,965.6743929127804
124,chatglm3-6b,953.1904195358204
125,koala-13b,937.3981325246035
126,gpt4all-13b-snoozy,909.8766030565154
127,mpt-7b-chat,899.9007686802372
128,RWKV-4-Raven-14B,896.6869922852145
129,chatglm2-6b,892.1731767479367
130,chatglm-6b,883.9030545375867
131,oasst-pythia-12b,873.2405162066492
132,stablelm-tuned-alpha-7b,858.109960739957
133,alpaca-13b,789.512049919334
134,fastchat-t5-3b,759.395229386582
135,dolly-v2-12b,746.1831318099103
136,llama-13b,668.7085974316533