model,queries,queries_rank,software_development,software_development_rank,puzzles_&_problem_solving,puzzles_&_problem_solving_rank,writing_prompts,writing_prompts_rank
mistral-large-2407,1213.5083956809415,16,1220.6454494430545,11,1204.148925075618,17,1251.6215475226927,15
gemma-2-9b-it,1159.6021011215548,31,1125.9344200366413,37,1152.1358094980967,38,1227.029728220822,19
mixtral-8x22b-instruct-v0.1,1136.6109714844442,42,1105.7022040017494,43,1111.168819712379,52,1153.4445752545294,44
gemini-1.5-pro-api-0514,1201.5707710370755,18,1224.6789310814054,9,1226.4260848961303,8,1264.6026163423548,10
llama-3.1-8b-instruct,1157.9746706154428,33,1139.1047279818483,34,1125.7028084579358,45,1185.0985378381151,33
claude-3-opus-20240229,1180.4657795705962,23,1207.771049507875,16,1213.9979276120212,11,1209.746093500051,24
gpt-4-turbo-2024-04-09,1221.3230425162722,11,1207.1297293345503,17,1245.093927453655,4,1265.7233430306396,9
llama-3-70b-instruct,1217.9320775296492,14,1184.162510066916,22,1208.8183964676755,14,1269.6252790463327,8
claude-3-sonnet-20240229,1155.178639506607,34,1152.921126730725,28,1183.784121503408,20,1181.3795629447636,38
athene-70b-0725,1247.5353935059977,5,1225.3268516068083,8,1180.1127806437657,24,1254.176738262479,12
claude-3-5-sonnet-20240620,1235.498964029858,9,1257.598485815147,4,1250.5674918046,2,1212.5397505042429,23
claude-3-haiku-20240307,1137.3410808920346,41,1156.1620875644267,27,1134.31768533548,42,1173.4287757230366,41
gemini-1.5-flash-api-0514,1180.819071493021,22,1178.4226880071092,24,1182.8438332471105,21,1234.5789615079002,18
qwen2-72b-instruct,1166.6214827710678,28,1181.7419827058252,23,1193.684225955923,19,1182.213321218015,37
gpt-4-0125-preview,1214.7164011222603,15,1219.2052883133874,12,1204.3090511652817,16,1220.0147379712134,21
reka-flash-20240722,1167.009105965553,27,1145.0242107623412,32,1150.7466568697484,39,1184.0992316893735,35
yi-large,1164.1259787402264,30,1195.3794115122334,20,1211.705604339867,13,1186.8663244001946,31
llama-3.1-70b-instruct,1244.4718319186502,6,1218.8229541591868,13,1201.2482084340018,18,1292.764890121086,4
dbrx-next,1143.3706756499287,38,1117.0628041927282,40,1123.359784522181,46,1201.446982868746,25
command-r,1130.4994348503806,45,1086.544185943124,48,1113.622416453069,51,1177.4696530025894,39
gpt-4o-mini-2024-07-18,1260.538291006458,3,1237.080550435515,6,1223.2436470001264,10,1277.3659226831878,5
gpt-4o-2024-08-06,1224.7682262320907,10,1215.8888092980678,15,1224.532795908622,9,1253.1629955283715,13
deepseek-v2-api-0628,1190.9713465524449,21,1197.9953346379095,19,1207.2478367512695,15,1195.3473499506267,28
gpt-4-0613,1139.5381783546563,39,1149.157505252245,30,1169.8811108416157,27,1186.5362182816573,32
gemma-2-27b-it,1194.9536091048749,20,1145.666603380163,31,1164.840456803343,31,1240.0082366895053,16
gpt-4o-2024-05-13,1251.4647796859642,4,1259.7675038873294,3,1237.275250273283,5,1277.3507816720062,6
gemma-2-2b-it,1083.0258006042536,53,1054.9689570061876,52,1115.7262489462964,49,1132.2117637969018,46
gemini-1.5-pro-exp-0801,1263.6830736959585,2,1226.7133812022016,7,1236.7662207840904,6,1312.8860282146507,2
llama-3-8b-instruct,1171.3853152430734,26,1118.7607020361188,39,1132.1986442107168,43,1197.2493958761202,27
mixtral-8x7b-instruct-v0.1,1114.0,48,1114.0,41,1114.0,50,1114.0,50
phi-3-mini-4k-instruct,1058.5329461794363,54,1047.0374941293323,53,1153.3971363571281,37,1100.817334686693,51
reka-core-20240501,1179.0138747476549,24,1132.616903935072,35,1136.5229029302204,41,1184.3661795643736,34
yi-large-preview,1218.22688948935,13,1206.2571114649393,18,1212.1164820118706,12,1221.370246456108,20
llama-3.1-405b-instruct,1240.6944984495308,7,1260.4686075282223,2,1249.433196586637,3,1295.2595377661269,3
deepseek-coder-v2-0724,1165.6315906150087,29,1245.042083176057,5,1166.9103731717535,29,1214.121522928727,22
mistral-large-2402,1135.881011934218,43,1103.3289933063445,44,1163.9208839149994,32,1183.2363884457009,36
deepseek-coder-v2,1146.89571920965,36,1221.9934777200153,10,1168.0078829823065,28,1100.2146697148942,52
eureka-chatbot,1159.2578835342724,32,1128.1985611129378,36,1161.0061275924566,33,1193.3357562544102,30
reka-flash-preview-20240611,1133.9814849996226,44,1119.4201923523945,38,1121.2572837584084,48,1161.327492765001,43
phi-3-mini-4k-instruct-june-2024,1057.874208144493,55,1078.1680872926072,50,1121.9783285006015,47,1097.8234511572718,54
nemotron-4-340b-instruct,1146.778029110988,37,1191.6076529239615,21,1153.4027514139439,36,1175.8633251613546,40
gpt-4-1106-preview,1219.055616950703,12,1217.0139001704426,14,1235.684157372919,7,1260.7130296523164,11
gpt-3.5-turbo-0125,1110.436148048268,49,1085.2461410472342,49,1095.3244221595196,53,1078.1591677668112,55
chatgpt-4o-latest,1289.1418670005069,1,1305.1872427734243,1,1256.4212066367138,1,1342.05493157107,1
command-r-plus,1138.318020482829,40,1140.2074561815307,33,1138.2563682990613,40,1240.0046564133463,17
yi-1.5-34b-chat,1154.9117766184272,35,1109.5774343457224,42,1165.711810399599,30,1172.7725643681642,42
phi-3-medium-4k-instruct,1130.1438092246394,46,1099.6195883383732,46,1156.9054796941289,35,1131.6422832541143,47
reka-core-20240722,1202.0904074345535,17,1149.9640679552167,29,1160.6322915411047,34,1251.8088038899518,14
codestral-2405,1101.2354902420866,50,1088.0196866670697,47,1062.3555367913473,55,1119.7474423054423,49
phi-3-small-8k-instruct,1086.1273545030017,52,1075.3763422244147,51,1126.4156913112283,44,1124.1868081515722,48
snowflake-arctic-instruct,1172.001795429692,25,1159.2664322706585,26,1171.3815976548124,25,1201.446982868746,25
gemma-2-9b-it-simpo,1238.4055126738183,8,1100.2962239349836,45,1180.7348685851841,23,1270.2444348647105,7
glm-4-0520,1198.8862288941943,19,1167.9350937073464,25,1181.7637574259863,22,1193.5821011754317,29
gemma-1.1-7b-it,1119.9107603359018,47,1013.9497080581373,55,1071.5589653006264,54,1099.9814814742658,53
dbrx-instruct-preview,1086.1613338988795,51,1044.5148463669575,54,1171.3815976548124,25,1151.51412146222,45
