Miscellaneous,Machine Learning,Math Problems,Strategic Planning,Creative Writing,Philosophical Inquiry,Language Education,Strategies,Programming,Logic Puzzles,River Puzzles,Letter Counting,Global Issues,Healthcare Guidance
claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620,chatgpt-4o-latest,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620
gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,gpt-4o-2024-05-13,llama-3.1-405b-instruct,gpt-4o-2024-05-13,gpt-4o-2024-05-13,gpt-4o-2024-05-13,llama-3-70b-instruct,gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,chatgpt-4o-latest,gpt-4o-2024-08-06,llama-3-70b-instruct,llama-3-70b-instruct
gemini-1.5-pro-api-0514,gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,gpt-4o-2024-05-13,gemini-1.5-pro-api-0514,llama-3-70b-instruct,gemini-1.5-pro-api-0514,gemma-2-9b-it,gemini-1.5-pro-api-0514,chatgpt-4o-latest,gpt-4o-2024-05-13,gpt-4o-2024-05-13,claude-3-opus-20240229,llama-3.1-405b-instruct
llama-3-70b-instruct,llama-3.1-405b-instruct,chatgpt-4o-latest,chatgpt-4o-latest,chatgpt-4o-latest,gpt-4o-mini-2024-07-18,gemini-1.5-pro-exp-0801,gpt-4o-2024-05-13,gpt-4o-mini-2024-07-18,gpt-4o-2024-05-13,gpt-4-turbo-2024-04-09,gemini-1.5-pro-api-0514,claude-3-5-sonnet-20240620,gemini-1.5-pro-exp-0801
gemini-1.5-pro-exp-0801,claude-3-opus-20240229,gemini-1.5-flash-api-0514,gemma-2-27b-it,gemma-2-27b-it,gemini-1.5-pro-api-0514,gpt-4-turbo-2024-04-09,gemini-1.5-pro-api-0514,llama-3.1-405b-instruct,llama-3.1-405b-instruct,gemini-1.5-flash-api-0514,gemini-1.5-pro-exp-0801,gemini-1.5-pro-exp-0801,gemini-1.5-pro-api-0514
chatgpt-4o-latest,gemini-1.5-pro-exp-0801,gemma-2-27b-it,gemini-1.5-pro-api-0514,llama-3-70b-instruct,gemini-1.5-pro-exp-0801,gemini-1.5-flash-api-0514,llama-3.1-405b-instruct,chatgpt-4o-latest,gpt-4o-2024-08-06,claude-3-opus-20240229,claude-3-5-sonnet-20240620,gemma-2-27b-it,deepseek-v2-api-0628
gemma-2-27b-it,llama-3-70b-instruct,gemini-1.5-pro-exp-0801,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gemma-2-27b-it,chatgpt-4o-latest,gpt-4-0125-preview,llama-3-70b-instruct,llama-3-70b-instruct,llama-3.1-70b-instruct,llama-3.1-70b-instruct,gpt-4o-2024-05-13,gemma-2-9b-it
llama-3.1-405b-instruct,gemma-2-27b-it,llama-3.1-405b-instruct,gemini-1.5-flash-api-0514,gemini-1.5-pro-exp-0801,llama-3-8b-instruct,claude-3-opus-20240229,gemini-1.5-flash-api-0514,claude-3-opus-20240229,gemini-1.5-pro-exp-0801,command-r-plus,claude-3-opus-20240229,claude-3-haiku-20240307,gpt-4o-2024-05-13
claude-3-opus-20240229,chatgpt-4o-latest,gpt-4o-mini-2024-07-18,gpt-4-turbo-2024-04-09,llama-3.1-405b-instruct,claude-3-haiku-20240307,llama-3-70b-instruct,gpt-4o-mini-2024-07-18,gemini-1.5-pro-exp-0801,gemma-2-27b-it,gpt-4o-2024-08-06,gpt-4-0125-preview,llama-3.1-405b-instruct,claude-3-haiku-20240307
gpt-4o-mini-2024-07-18,gpt-4-turbo-2024-04-09,claude-3-opus-20240229,gpt-4o-2024-08-06,gemini-1.5-flash-api-0514,chatgpt-4o-latest,gemma-2-27b-it,mistral-large-2407,gemma-2-27b-it,gpt-4o-mini-2024-07-18,gemini-1.5-pro-exp-0801,llama-3.1-405b-instruct,qwen2-72b-instruct,deepseek-coder-v2
gpt-4-turbo-2024-04-09,athene-70b-0725,gpt-4-turbo-2024-04-09,llama-3-70b-instruct,gemma-2-9b-it,llama-3.1-405b-instruct,llama-3.1-405b-instruct,gemini-1.5-pro-exp-0801,gemini-1.5-flash-api-0514,yi-large-preview,glm-4-0520,gemini-1.5-flash-api-0514,gemma-2-9b-it,chatgpt-4o-latest
gemini-1.5-flash-api-0514,llama-3.1-70b-instruct,gpt-4-1106-preview,deepseek-coder-v2,llama-3.1-70b-instruct,gpt-4-1106-preview,command-r-plus,athene-70b-0725,gpt-4-turbo-2024-04-09,gpt-4-0613,gpt-4-0613,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gemma-2-27b-it
gemma-2-9b-it,gemma-2-9b-it,deepseek-v2-api-0628,deepseek-v2-api-0628,deepseek-v2-api-0628,claude-3-opus-20240229,gpt-4o-mini-2024-07-18,gpt-4o-2024-08-06,gpt-4o-2024-08-06,gpt-4-turbo-2024-04-09,gemini-1.5-pro-api-0514,deepseek-v2-api-0628,gpt-4o-2024-08-06,mixtral-8x22b-instruct-v0.1
llama-3.1-70b-instruct,gpt-4o-2024-08-06,llama-3-70b-instruct,gemini-1.5-pro-exp-0801,claude-3-opus-20240229,athene-70b-0725,llama-3-8b-instruct,qwen2-72b-instruct,gemma-2-9b-it,gemma-2-9b-it,gpt-4o-mini-2024-07-18,gpt-4-turbo-2024-04-09,reka-flash-preview-20240611,mistral-large-2407
deepseek-v2-api-0628,gemini-1.5-flash-api-0514,gemma-2-9b-it,reka-flash-20240722,gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09,athene-70b-0725,claude-3-opus-20240229,llama-3.1-70b-instruct,claude-3-opus-20240229,gpt-4-1106-preview,claude-3-haiku-20240307,llama-3-8b-instruct,gpt-4-turbo-2024-04-09
athene-70b-0725,deepseek-v2-api-0628,gpt-4o-2024-08-06,claude-3-opus-20240229,mistral-large-2407,gpt-4-0125-preview,llama-3.1-70b-instruct,gemma-2-27b-it,deepseek-coder-v2,qwen2-72b-instruct,llama-3.1-405b-instruct,reka-core-20240722,llama-3.1-70b-instruct,gpt-4o-mini-2024-07-18
gpt-4o-2024-08-06,gpt-4o-mini-2024-07-18,gemma-2-2b-it,llama-3.1-8b-instruct,gpt-4-1106-preview,gemini-1.5-flash-api-0514,deepseek-v2-api-0628,deepseek-v2-api-0628,deepseek-v2-api-0628,llama-3.1-70b-instruct,gemma-2-27b-it,llama-3-70b-instruct,gemini-1.5-flash-api-0514,command-r
llama-3-8b-instruct,yi-large-preview,qwen2-72b-instruct,gemma-2-9b-it,gpt-4o-2024-08-06,qwen2-72b-instruct,claude-3-haiku-20240307,chatgpt-4o-latest,mistral-large-2407,gpt-4-1106-preview,llama-3-70b-instruct,reka-flash-20240722,chatgpt-4o-latest,llama-3.1-70b-instruct
mistral-large-2407,deepseek-coder-v2,llama-3.1-70b-instruct,gpt-4-1106-preview,athene-70b-0725,mistral-large-2407,gpt-4o-2024-08-06,phi-3-medium-4k-instruct,gpt-4-0125-preview,gpt-4-0125-preview,reka-flash-20240722,llama-3.1-8b-instruct,deepseek-v2-api-0628,athene-70b-0725
claude-3-haiku-20240307,llama-3.1-8b-instruct,llama-3.1-8b-instruct,athene-70b-0725,llama-3.1-8b-instruct,reka-core-20240501,llama-3.1-8b-instruct,gpt-4-turbo-2024-04-09,claude-3-sonnet-20240229,gemini-1.5-flash-api-0514,mistral-large-2407,mistral-large-2407,gpt-4-turbo-2024-04-09,claude-3-opus-20240229
qwen2-72b-instruct,reka-flash-preview-20240611,reka-core-20240501,mistral-large-2407,deepseek-coder-v2,reka-flash-20240722,yi-1.5-34b-chat,llama-3.1-8b-instruct,llama-3-8b-instruct,llama-3.1-8b-instruct,athene-70b-0725,gemma-2-2b-it,reka-flash-20240722,qwen2-72b-instruct
gpt-4-1106-preview,mixtral-8x22b-instruct-v0.1,yi-large,reka-core-20240722,yi-large-preview,llama-3.1-8b-instruct,reka-core-20240501,nemotron-4-340b-instruct,claude-3-haiku-20240307,mistral-large-2407,qwen2-72b-instruct,gpt-4-1106-preview,mistral-large-2407,claude-3-sonnet-20240229
deepseek-coder-v2,llama-3-8b-instruct,claude-3-haiku-20240307,claude-3-haiku-20240307,llama-3-8b-instruct,yi-1.5-34b-chat,gemma-2-9b-it,llama-3.1-70b-instruct,qwen2-72b-instruct,reka-flash-preview-20240611,llama-3.1-8b-instruct,athene-70b-0725,gemma-2-2b-it,gemini-1.5-flash-api-0514
yi-large,mistral-large-2407,phi-3-mini-4k-instruct-june-2024,qwen2-72b-instruct,mixtral-8x22b-instruct-v0.1,gemma-2-9b-it,deepseek-coder-v2,glm-4-0520,athene-70b-0725,athene-70b-0725,mixtral-8x22b-instruct-v0.1,gemma-2-9b-it,phi-3-medium-4k-instruct,reka-core-20240501
yi-large-preview,command-r-plus,gpt-4-0125-preview,llama-3.1-70b-instruct,command-r-plus,yi-large-preview,qwen2-72b-instruct,gpt-4-1106-preview,yi-large,yi-large,deepseek-coder-v2,phi-3-medium-4k-instruct,yi-large-preview,yi-large
llama-3.1-8b-instruct,mixtral-8x7b-instruct-v0.1,yi-large-preview,yi-large-preview,gpt-4-0613,gpt-3.5-turbo-0125,eureka-chatbot,eureka-chatbot,yi-large-preview,command-r-plus,mistral-large-2402,deepseek-coder-v2-0724,reka-core-20240501,gemma-2-2b-it
gpt-4-0125-preview,deepseek-coder-v2-0724,mistral-large-2407,gpt-4-0125-preview,reka-flash-preview-20240611,llama-3.1-70b-instruct,reka-flash-20240722,deepseek-coder-v2,reka-core-20240722,reka-core-20240722,eureka-chatbot,gemma-2-27b-it,command-r-plus,reka-core-20240722
nemotron-4-340b-instruct,claude-3-haiku-20240307,mixtral-8x22b-instruct-v0.1,yi-1.5-34b-chat,nemotron-4-340b-instruct,reka-core-20240722,gpt-4-1106-preview,gpt-4-0613,reka-core-20240501,claude-3-haiku-20240307,phi-3-mini-4k-instruct-june-2024,eureka-chatbot,eureka-chatbot,gpt-4o-2024-08-06
reka-flash-preview-20240611,gpt-4-0613,phi-3-medium-4k-instruct,gpt-3.5-turbo-0125,gpt-4-0125-preview,gpt-4o-2024-08-06,mixtral-8x22b-instruct-v0.1,reka-flash-preview-20240611,reka-flash-preview-20240611,deepseek-v2-api-0628,deepseek-v2-api-0628,yi-large,mixtral-8x7b-instruct-v0.1,llama-3-8b-instruct
command-r-plus,qwen2-72b-instruct,reka-core-20240722,reka-flash-preview-20240611,reka-core-20240722,reka-flash-preview-20240611,mistral-large-2407,llama-3-8b-instruct,llama-3.1-8b-instruct,gemma-2-2b-it,llama-3-8b-instruct,llama-3-8b-instruct,yi-1.5-34b-chat,yi-1.5-34b-chat
reka-core-20240501,reka-flash-20240722,gpt-4-0613,claude-3-sonnet-20240229,reka-flash-20240722,deepseek-v2-api-0628,nemotron-4-340b-instruct,claude-3-sonnet-20240229,nemotron-4-340b-instruct,reka-flash-20240722,gemma-2-9b-it,reka-flash-preview-20240611,athene-70b-0725,reka-flash-preview-20240611
reka-core-20240722,gpt-4-1106-preview,llama-3-8b-instruct,mixtral-8x7b-instruct-v0.1,glm-4-0520,glm-4-0520,gemma-2-2b-it,gemma-2-2b-it,glm-4-0520,nemotron-4-340b-instruct,claude-3-haiku-20240307,reka-core-20240501,gpt-4-1106-preview,nemotron-4-340b-instruct
mixtral-8x22b-instruct-v0.1,reka-core-20240722,nemotron-4-340b-instruct,nemotron-4-340b-instruct,yi-1.5-34b-chat,nemotron-4-340b-instruct,gpt-4-0125-preview,claude-3-haiku-20240307,gpt-4-0613,phi-3-medium-4k-instruct,yi-1.5-34b-chat,nemotron-4-340b-instruct,phi-3-mini-4k-instruct-june-2024,mistral-large-2402
gpt-4-0613,glm-4-0520,deepseek-coder-v2-0724,yi-large,qwen2-72b-instruct,gemma-2-2b-it,yi-large,yi-large,deepseek-coder-v2-0724,reka-core-20240501,claude-3-sonnet-20240229,phi-3-mini-4k-instruct-june-2024,nemotron-4-340b-instruct,command-r-plus
claude-3-sonnet-20240229,phi-3-mini-4k-instruct-june-2024,eureka-chatbot,phi-3-mini-4k-instruct-june-2024,claude-3-haiku-20240307,claude-3-sonnet-20240229,reka-flash-preview-20240611,gemma-2-9b-it-simpo,mixtral-8x7b-instruct-v0.1,deepseek-coder-v2,reka-flash-preview-20240611,gemma-1.1-7b-it,deepseek-coder-v2,gpt-4-1106-preview
reka-flash-20240722,nemotron-4-340b-instruct,reka-flash-20240722,command-r,yi-large,deepseek-coder-v2-0724,reka-core-20240722,reka-core-20240722,yi-1.5-34b-chat,claude-3-sonnet-20240229,gpt-3.5-turbo-0125,mixtral-8x22b-instruct-v0.1,yi-large,phi-3-mini-4k-instruct-june-2024
glm-4-0520,yi-large,athene-70b-0725,eureka-chatbot,reka-core-20240501,phi-3-mini-4k-instruct-june-2024,gpt-4-0613,yi-large-preview,command-r-plus,mixtral-8x7b-instruct-v0.1,gemma-2-2b-it,qwen2-72b-instruct,gpt-4-0125-preview,glm-4-0520
yi-1.5-34b-chat,mistral-large-2402,deepseek-coder-v2,gemma-2-2b-it,mixtral-8x7b-instruct-v0.1,command-r-plus,gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,eureka-chatbot,yi-1.5-34b-chat,dbrx-instruct-preview,mistral-large-2402,mixtral-8x22b-instruct-v0.1,gpt-4-0613
gemma-2-2b-it,claude-3-sonnet-20240229,reka-flash-preview-20240611,llama-3-8b-instruct,phi-3-mini-4k-instruct-june-2024,mixtral-8x22b-instruct-v0.1,yi-large-preview,mixtral-8x22b-instruct-v0.1,mixtral-8x22b-instruct-v0.1,mixtral-8x22b-instruct-v0.1,dbrx-next,phi-3-mini-4k-instruct,llama-3.1-8b-instruct,reka-flash-20240722
eureka-chatbot,phi-3-medium-4k-instruct,phi-3-mini-4k-instruct,mistral-large-2402,command-r,yi-large,phi-3-medium-4k-instruct,yi-1.5-34b-chat,gpt-4-1106-preview,phi-3-mini-4k-instruct-june-2024,phi-3-small-8k-instruct,command-r,gpt-4-0613,gpt-4-0125-preview
phi-3-mini-4k-instruct-june-2024,gpt-4-0125-preview,mixtral-8x7b-instruct-v0.1,command-r-plus,mistral-large-2402,eureka-chatbot,glm-4-0520,reka-flash-20240722,phi-3-mini-4k-instruct-june-2024,mistral-large-2402,reka-core-20240722,command-r-plus,claude-3-sonnet-20240229,mixtral-8x7b-instruct-v0.1
deepseek-coder-v2-0724,yi-1.5-34b-chat,gpt-3.5-turbo-0125,glm-4-0520,claude-3-sonnet-20240229,deepseek-coder-v2,deepseek-coder-v2-0724,phi-3-small-8k-instruct,gpt-3.5-turbo-0125,deepseek-coder-v2-0724,command-r,gpt-4-0613,gpt-3.5-turbo-0125,eureka-chatbot
phi-3-medium-4k-instruct,eureka-chatbot,command-r,mixtral-8x22b-instruct-v0.1,deepseek-coder-v2-0724,phi-3-medium-4k-instruct,claude-3-sonnet-20240229,dbrx-instruct-preview,phi-3-medium-4k-instruct,gpt-3.5-turbo-0125,yi-large-preview,gpt-3.5-turbo-0125,codestral-2405,llama-3.1-8b-instruct
command-r,phi-3-small-8k-instruct,glm-4-0520,reka-core-20240501,phi-3-medium-4k-instruct,mistral-large-2402,command-r,dbrx-next,mistral-large-2402,glm-4-0520,gpt-4-0125-preview,yi-1.5-34b-chat,command-r,gpt-3.5-turbo-0125
gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,gemma-2-9b-it-simpo,gemma-2-9b-it-simpo,eureka-chatbot,gpt-4-0613,mistral-large-2402,command-r-plus,dbrx-next,llama-3-8b-instruct,yi-large,claude-3-sonnet-20240229,glm-4-0520,phi-3-medium-4k-instruct
mistral-large-2402,codestral-2405,yi-1.5-34b-chat,deepseek-coder-v2-0724,gemma-2-2b-it,mixtral-8x7b-instruct-v0.1,dbrx-next,command-r,command-r,gemma-1.1-7b-it,mixtral-8x7b-instruct-v0.1,dbrx-next,phi-3-small-8k-instruct,deepseek-coder-v2-0724
mixtral-8x7b-instruct-v0.1,command-r,claude-3-sonnet-20240229,gpt-4-0613,gemma-2-9b-it-simpo,command-r,phi-3-small-8k-instruct,reka-core-20240501,reka-flash-20240722,dbrx-next,phi-3-medium-4k-instruct,dbrx-instruct-preview,reka-core-20240722,dbrx-instruct-preview
phi-3-small-8k-instruct,reka-core-20240501,mistral-large-2402,phi-3-small-8k-instruct,gpt-3.5-turbo-0125,phi-3-small-8k-instruct,phi-3-mini-4k-instruct-june-2024,mistral-large-2402,gemma-2-2b-it,codestral-2405,deepseek-coder-v2-0724,phi-3-small-8k-instruct,mistral-large-2402,phi-3-small-8k-instruct
dbrx-next,gemma-2-9b-it-simpo,phi-3-small-8k-instruct,dbrx-instruct-preview,phi-3-small-8k-instruct,gemma-2-9b-it-simpo,phi-3-mini-4k-instruct,phi-3-mini-4k-instruct,phi-3-small-8k-instruct,phi-3-small-8k-instruct,phi-3-mini-4k-instruct,yi-large-preview,gemma-2-9b-it-simpo,yi-large-preview
gemma-2-9b-it-simpo,dbrx-next,dbrx-instruct-preview,dbrx-next,gemma-1.1-7b-it,dbrx-next,mixtral-8x7b-instruct-v0.1,deepseek-coder-v2-0724,gemma-2-9b-it-simpo,command-r,reka-core-20240501,deepseek-coder-v2,dbrx-next,dbrx-next
codestral-2405,gemma-2-2b-it,command-r-plus,phi-3-medium-4k-instruct,dbrx-instruct-preview,dbrx-instruct-preview,gemma-2-9b-it-simpo,mixtral-8x7b-instruct-v0.1,gemma-1.1-7b-it,phi-3-mini-4k-instruct,gemma-2-9b-it-simpo,mixtral-8x7b-instruct-v0.1,dbrx-instruct-preview,phi-3-mini-4k-instruct
phi-3-mini-4k-instruct,dbrx-instruct-preview,gemma-1.1-7b-it,phi-3-mini-4k-instruct,dbrx-next,phi-3-mini-4k-instruct,dbrx-instruct-preview,codestral-2405,dbrx-instruct-preview,dbrx-instruct-preview,codestral-2405,codestral-2405,deepseek-coder-v2-0724,codestral-2405
gemma-1.1-7b-it,phi-3-mini-4k-instruct,dbrx-next,codestral-2405,phi-3-mini-4k-instruct,codestral-2405,codestral-2405,phi-3-mini-4k-instruct-june-2024,codestral-2405,eureka-chatbot,nemotron-4-340b-instruct,gemma-2-9b-it-simpo,phi-3-mini-4k-instruct,gemma-2-9b-it-simpo
dbrx-instruct-preview,snowflake-arctic-instruct,codestral-2405,snowflake-arctic-instruct,snowflake-arctic-instruct,snowflake-arctic-instruct,snowflake-arctic-instruct,snowflake-arctic-instruct,phi-3-mini-4k-instruct,gemma-2-9b-it-simpo,snowflake-arctic-instruct,glm-4-0520,snowflake-arctic-instruct,snowflake-arctic-instruct
snowflake-arctic-instruct,gemma-1.1-7b-it,snowflake-arctic-instruct,gemma-1.1-7b-it,codestral-2405,gemma-1.1-7b-it,gemma-1.1-7b-it,gemma-1.1-7b-it,snowflake-arctic-instruct,snowflake-arctic-instruct,gemma-1.1-7b-it,snowflake-arctic-instruct,gemma-1.1-7b-it,gemma-1.1-7b-it
